"review_name","review_stars","review_comment"
"kardude","1.0 out of 5 stars","bad! bad! bad! Very bad quality under-shirts with extremely thin material. All shirts came with defects and loose threads everywhere. Never again any product from Gildan!"
"Ray","1.0 out of 5 stars","Few items to note here. First the cost of these shirts are super cheap so I expected them to not be the greatest quality or to last a super long time either. Figured I would buy these for an upcoming vacation and if they lasted after that, it would be a bonus. Two of the four shirts were not even stitched at the sleeve and one had some threads that if pulled would pull apart the collar stitches. There is a difference being of cheaper quality and not even assembling your product properly to sell. With only one good shirt in the bunch, the deal for 15.00 for four shirts really is 15 for one wearable shirt. Beware as you will get what you pay for here."
"Sean","1.0 out of 5 stars","This set of shirts was pretty affordable and had different colors, making it a must buy for me since I wanted to replace a good portion of my undershirts. Arrived today and I put one one. Fit nice, material was nice, but straight out of the package, one shirt has a very noticeable hole in the shoulder seam. Not entirely sure what happened but I hope the seller contacts me and resolves this."
"Blind Faith 99","1.0 out of 5 stars","So the price was right. Hard to complain when it's $2 a shirt. As it turns out, that's about what they're worth. First thing I noticed was that they're short and wide. They're not tapered as suggested in the description and pictures. It's a one-size-fits-all design. That can really be seen in the neck opening. For the Large size that I got, it's a whopping 11.5 inches in diameter. That means for normal men, it will sit low, causing a lot of neck and back to be exposed, and also, the neckline will be really loose. For comparison, my Jockey t-shirts are 8.5 to 10 inches, and a couple that I got at Target (Merona) are 9 inches. To make matters worse, after one wash, the material along the neckline curled badly. An oversized neck opening with a curled rim is NOT a good look. The shirts are simply unwearable in public. So all 6 immediately go into the rag drawer and I'll use them for painting or other messy jobs where it's okay if the shirt gets ruined. No idea why these shirts are getting good reviews."
"gabbertc","1.0 out of 5 stars","The shirts say they are 100% Cotten but I don’t believe I have ever felt such rough scratchy cotton. I have had these shirts for a few weeks now and they have been washed multiple times and are still scratchy. I also put one on this morning and it has a hole in the arm pit. I would not suggest buying these and I will not buy them again."
"Rosie Ortiz","1.0 out of 5 stars","The description of the colors are wrong. Originally ordered two red, one black, one grey and one blue. Received two black, two light gray and one dark gray. Very disappointed. I wanted this set specifically because my boyfriend looks amazing in red and blue. He's my very own Superman!"
"Shawn","1.0 out of 5 stars","One of my shirts came with a big rip on the sleeve seam. Neck seems very tight as well."
"Bob","1.0 out of 5 stars","""Men's Crew T-Shirt"" with 6"" of blouse hanging like a fool, and an absurd toilet bowl seat of a collar -- purposely disguised (downplayed) in the product photos. These might be okay--if you're cool as a ghost pepper n need to shove a pound of cotton in your trousers for that oh so glorious drill sergeant tuck, or you're going to a Halloween party as 1999 Slim Shady--as an undershirt, but unless you're 6'5""+ or very overweight (to compensate for all that material down yonder) yet somehow still have a 42""-44"" chest, then you're going to look completely ridiculous in this clown shirt.
Considering the price point, this is precisely the QC I should've expected from this sorry product -- 'proudly' shelved alongside MainStays goods at WallyWorld. Geez Gildan: I'm done with your company. These are being sent back.
Why should anyone buy these? I guess if you're the type of guy who takes your girl to Arby's for the holidays, then these would make for perfect pajamas to go on your loved one and along with your frugal affairs -- especially when she needs to blast Taco Bell out at 4am the morning after her BDay and there's no time to drop trou.
TL;DR Clown shirt w/ toilet seat for collar."
"Jesse Ellis","1.0 out of 5 stars","Got the shirts because I make custom shirts and pulled it out and undid the tap.. noticed one has a hole in the sleeve"
"Vegas Dweller","1.0 out of 5 stars","Ordered these T-Shirts for winter, they arrived on time. Great, top marks for that, BUT!!
I put one on out of the packet, not so good. I itched all afternoon & evening until I took the damn thing off.
Ok, could be a stupid move on my part to wear something straight out of the pack... Washed T-shirts as we normally do here. No changes in any laundry products, dried on low (some shrinkage not much) used fabric softener AND STILL itchy as all hell.
Put thru on another wash & dry cycle a few days later, put on the T-shirt AND STILL itched all darn day. Tested by wearing one of my ratty old Calvin T-shirts, no itch, no problem. There is definitely something wrong with my batch of T-shirts, sending them back. Watch out you may just end up with some of these T-shirts, not worth the low price or the high aggravation. See these & move on to the next one...."
